date_of_infraction,infraction_code,infraction_description,set_fine_amount,location2
20220101,3,PARK ON PRIVATE PROPERTY,30,68 ABELL ST
20220101,3,PARK ON PRIVATE PROPERTY,30,68 ABELL ST
20220101,3,PARK ON PRIVATE PROPERTY,30,68 ABELL ST
20220101,3,PARK ON PRIVATE PROPERTY,30,68 ABELL ST
20220101,3,PARK ON PRIVATE PROPERTY,30,68 ABELL ST
20220101,3,PARK ON PRIVATE PROPERTY,30,68 ABELL ST
20220101,3,PARK ON PRIVATE PROPERTY,30,68 ABELL ST
20220101,3,PARK ON PRIVATE PROPERTY,30,135 ANTIBES DR
20220101,3,PARK ON PRIVATE PROPERTY,30,1095 NEILSON RD
20220101,3,PARK ON PRIVATE PROPERTY,30,135 ANTIBES DR
20220101,3,PARK ON PRIVATE PROPERTY,30,135 ANTIBES DR
20220101,3,PARK ON PRIVATE PROPERTY,30,1095 NEILSON RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1095 NEILSON RD
20220101,3,PARK ON PRIVATE PROPERTY,30,5233 DUNDAS ST W
20220101,3,PARK ON PRIVATE PROPERTY,30,5233 DUNDAS ST W
20220101,3,PARK ON PRIVATE PROPERTY,30,5233 DUNDAS ST W
20220101,3,PARK ON PRIVATE PROPERTY,30,1095 NEILSON RD
20220101,3,PARK ON PRIVATE PROPERTY,30,5233 DUNDAS ST W
20220101,3,PARK ON PRIVATE PROPERTY,30,17 BARBERRY PL
20220101,3,PARK ON PRIVATE PROPERTY,30,160 VANDERHOOF AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,160 VANDERHOOF AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,17 BARBERRY PL
20220101,3,PARK ON PRIVATE PROPERTY,30,160 VANDERHOOF AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,17 BARBERRY PL
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,17 BARBERRY PL
20220101,3,PARK ON PRIVATE PROPERTY,30,17 BARBERRY PL
20220101,3,PARK ON PRIVATE PROPERTY,30,75 ALFORD CRES
20220101,3,PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
20220101,3,PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
20220101,3,PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,75 ALFORD CRES
20220101,3,PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,75 ALFORD CRES
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,19 BATHURST ST
20220101,3,PARK ON PRIVATE PROPERTY,30,628 FLEET ST
20220101,3,PARK ON PRIVATE PROPERTY,30,85 SCOTT ST
20220101,3,PARK ON PRIVATE PROPERTY,30,85 SCOTT ST
20220101,3,PARK ON PRIVATE PROPERTY,30,201 CARLAW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,201 CARLAW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
